"Id","Loc","Name","MainID","TaxonID","DataSourceID","BiotopeID","LocationID","TaxonName","CommonName","Reliability","SamplingInterval","mo_timestep","ndatapoints","longestrun","propmissing","propzeros","monotonic","Mass_g","MinAge_mo","TaxonomicClass3","ExactName","Country","LongDD","LatDD","data_rescale_case"
"GPDD_1176","William Trelease Woods","Red-bellied woodpecker",1176,166,17,17,94,"Melanerpes carolinus","Red-bellied woodpecker",4,"annual",12,48,40,0.0943396226415094,0.0625,0.499925470713125,62,10,"Birds","William Trelease Woods","USA",-88.3,40.1333333333333,2
"GPDD_1178","William Trelease Woods","Hairy woodpecker",1178,168,17,17,94,"Picoides villosus","Hairy woodpecker",4,"annual",12,48,40,0.0943396226415094,0.0833333333333333,0.134777920907044,66,12,"Birds","William Trelease Woods","USA",-88.3,40.1333333333333,3
"GPDD_1179","William Trelease Woods","Downy woodpecker",1179,169,17,17,94,"Picoides pubescens","Downy woodpecker",4,"annual",12,48,40,0.0943396226415094,0,0.108823641390633,27,10,"Birds","William Trelease Woods","USA",-88.3,40.1333333333333,1
"GPDD_1180","William Trelease Woods","Blue jay",1180,172,17,17,94,"Cyanocitta cristata","Blue jay",4,"annual",12,47,40,0.113207547169811,0.106382978723404,0.559222037477505,86.8,12,"Birds","William Trelease Woods","USA",-88.3,40.1333333333333,3
"GPDD_1181","William Trelease Woods","Common crow or American crow",1181,173,17,17,94,"Corvus brachyrhynchos.","Common crow or American crow",4,"annual",12,48,40,0.0943396226415094,0.0416666666666667,0.520309155424113,448,24,"Birds","William Trelease Woods","USA",-88.3,40.1333333333333,3
"GPDD_1183","William Trelease Woods","White-breasted nuthatch",1183,188,17,17,94,"Sitta carolinensis","White-breasted nuthatch",4,"annual",12,48,40,0.0943396226415094,0.125,0.298562534102465,21,12,"Birds","William Trelease Woods","USA",-88.3,40.1333333333333,3
"GPDD_1184","William Trelease Woods","Brown creeper",1184,189,17,17,94,"Certhia americana","Brown creeper",4,"annual",12,47,40,0.0784313725490197,0.0851063829787234,0.0768779031960275,8.4,10,"Birds","William Trelease Woods","USA",-88.3,40.1333333333333,3
"GPDD_1187","William Trelease Woods","Cardinal",1187,183,17,17,94,"Cardinalis cardinalis","Cardinal",4,"annual",12,48,40,0.0943396226415094,0,0.264948684497232,45,12,"Birds","William Trelease Woods","USA",-88.3,40.1333333333333,1
"GPDD_1188","William Trelease Woods","Dark-eyed junco",1188,151,17,17,94,"Junco hyemalis","Dark-eyed junco",4,"annual",12,48,40,0.0943396226415094,0.145833333333333,0.132238152486152,20,12,"Birds","William Trelease Woods","USA",-88.3,40.1333333333333,3
"GPDD_1189","William Trelease Woods","American tree sparrow",1189,190,17,17,94,"Spizella arborea","American tree sparrow",4,"annual",12,48,40,0.0943396226415094,0.0833333333333333,0.0470570263235811,20,10,"Birds","William Trelease Woods","USA",-88.3,40.1333333333333,2
"GPDD_1213","William Trelease Woods","Common flicker",1213,165,17,17,94,"Colaptes auratus","Common flicker",4,"annual",12,48,40,0.0943396226415094,0.166666666666667,0.413164666419458,132,10,"Birds","William Trelease Woods","USA",-88.3,40.1333333333333,3
"GPDD_1347","Aransas","Whooping crane",1347,412,34,81,140,"Grus americana","Whooping crane",4,"annual",12,48,48,0,0,0.96278902796768,5826,48,"Birds","Aransas","USA",-97,27.8333333333333,1
"GPDD_1869","Kodiak Archipelago","Pink salmon",1869,10225,301,280,10269,"Oncorhynchus gorbuscha","Pink salmon",2,"annual",12,44,44,0,0,0.318122555608192,1000,18,"Bony fishes","Kodiak Archipelago","USA",-153.333333333333,57.3333333333333,1
"GPDD_2721","USA","Snowshoe hare or American varying hare",2721,416,59,23,81,"Lepus americanus","Snowshoe hare or American varying hare",2,"annual",12,57,57,0,0,0.15039959546854,2000,12,"Mammals","USA","USA",-95,40,1
"GPDD_2722","USA","Canadian lynx",2722,75,59,23,81,"Lynx canadensis","Canadian lynx",2,"annual",12,57,57,0,0,0.16176858884791,9900,10,"Mammals","USA","USA",-95,40,1
"GPDD_2726","Nebraska","Northern bobwhite or Bobwhite quail",2726,733,55,53,56,"Colinus virginianus","Northern bobwhite or Bobwhite quail",3,"annual",12,46,46,0,0,0.186430569012049,178,10,"Birds","Nebraska","USA",-110,42,1
"GPDD_2759","Skeena River","Sockeye salmon",2759,739,64,84,364,"Oncorhynchus nerka","Sockeye salmon",2,"annual",12,57,57,0,0,0.442365467139308,1400,24,"Bony fishes","Skeena River","Canada",-129.333333333333,54.5,1
"GPDD_5019","Queens Gate","Barbary macaque",5019,790,80,101,414,"Macaca sylvanus","Barbary macaque",5,"annual",12,46,46,0,0,0.169106479402766,11200,30,"Mammals","Queens Gate","Gibraltar",-5.35,36.15,1
"GPDD_5039","Central Illinois","Red-tailed hawk",5039,186,78,41,374,"Buteo jamaicensis","Red-tailed hawk",3,"annual",12,49,48,0.02,0.102040816326531,0.290407746095158,1362,24,"Birds","Central Illinois","USA",-89,40,3
"GPDD_6524","Vasser, Hopland Field Station, Northern ","California vole",6524,11093,406,106,10502,"Microtus californicus","California vole",3,"bimonthly",2,126,126,0,0.0476190476190476,0.09509171961693,56,2,"Mammals","Vasser, Hopland Field Station, Northern California","USA",-123.333333333333,39,2
"GPDD_6525","Neiderost, Hopland Field Station, Northe","California vole",6525,11093,406,106,10501,"Microtus californicus","California vole",3,"bimonthly",2,126,126,0,0.0396825396825397,0.126077429263808,56,2,"Mammals","Neiderost, Hopland Field Station, Northern California","USA",-123.333333333333,39,2
"GPDD_6768","Illinois State","Chinch bug",6768,11173,451,283,10551,"Blissus leucopterus","Chinch bug",3,"annual",12,121,121,0,0.231404958677686,0.346244314681313,0.002,1,"Insects","Illinois State","USA",-89.4166666666667,39.5,2
"GPDD_6789","Hinkley Point","Twaite shad",6789,93,14,13,83,"Alosa fallax","Twaite shad",5,"monthly",1,197,197,0,0.588832487309645,0.158897811854395,500,36,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
"GPDD_6791","Hinkley Point","Common eel",6791,94,14,13,83,"Anguilla anguilla","Common eel",5,"monthly",1,197,197,0,0.563451776649746,0.167565013022281,2750,180,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
"GPDD_6798","Hinkley Point","5-bearded rockling",6798,97,14,13,83,"Ciliata mustela","5-bearded rockling",5,"monthly",1,197,197,0,0.49238578680203,0.215553235617582,50,12,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
"GPDD_6801","Hinkley Point","Conger",6801,99,14,13,83,"Conger conger","Conger",5,"monthly",1,197,197,0,0.578680203045685,0.129042381385069,13176,60,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
