"ID","Binomial","Replicate","Excluded_LPR_2022","Citation","Class","Order","Family","Genus","Species","Subspecies","Authority","Common_name","Location","Country","All_countries","Region","IPBES_region","IPBES_subregion","Latitude","Longitude","Specific_location","System","T_realm","T_biome","FW_realm","FW_biome","M_realm","M_ocean","M_biome","Migratory_fw_fish","Units","Method"
539,"Capra_ibex",1,0," Jacobson, A. R., A. Provenzale, et al. (2004). ""Climate forcing and density dependence in a mountain ungulate population."" Ecology 85: 1598-1610.","Mammalia","Artiodactyla","Bovidae","Capra","ibex",NA,"(Linnaeus, 1758)","Alpine ibex","Gran Paradiso NP, NW Italy","Italy","Italy","Europe","Europe and Central Asia","Central and Western Europe",45.41667,7.56667,1,"Terrestrial","Palearctic","Temperate coniferous forests",NA,NA,NA,NA,NA,0,"Number of individuals","Observed total ibex -  fall census"
848,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka","","(Walbaum 1792)","Sockeye salmon / Red salmon","Adams Complex, British Columbia","Canada","Canada","North America","Americas","North America",50.54,-119.33,1,"Freshwater",NA,NA,"Nearctic","Temperate coastal rivers",NA,NA,NA,1,"Individual fish","SR"
849,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Birkenhead River, BC","Canada","Canada","North America","Americas","North America",50,-122,1,"Freshwater",NA,NA,"Nearctic","Temperate coastal rivers",NA,NA,NA,1,"Number of fish","SR"
850,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Chilko Lake, British Columbia","Canada","Canada","North America","Americas","North America",51.15694,-124.22556,1,"Freshwater",NA,NA,"Nearctic","Temperate coastal rivers",NA,NA,NA,1,"Numbers of effective females","Count"
851,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Chilko River, BC","Canada","Canada","North America","Americas","North America",52.06,-123.27,1,"Freshwater",NA,NA,"Nearctic","Temperate coastal rivers",NA,NA,NA,1,"Individual fish","SR"
852,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Early Stuart Complex, BC","Canada","Canada","North America","Americas","North America",53.59,-123.32,1,"Freshwater",NA,NA,"Nearctic","Temperate coastal rivers",NA,NA,NA,1,"Number of fish","SR"
853,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Horsefly River, BC","Canada","Canada","North America","Americas","North America",52.28,-121.23,1,"Freshwater",NA,NA,"Nearctic","Temperate coastal rivers",NA,NA,NA,1,"Number of fish","SR"
854,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Late Stuart Complex, BC","Canada","Canada","North America","Americas","North America",53.59,-123.32,1,"Freshwater",NA,NA,"Nearctic","Temperate coastal rivers",NA,NA,NA,1,"Number of fish","SR"
856,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Rivers Inlet, BC","Canada","Canada","North America","Americas","North America",51.28,-127.25,1,"Freshwater",NA,NA,"Nearctic","Temperate coastal rivers",NA,NA,NA,1,"Millions of fish","SR"
857,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Smith Inlet, BC","Canada","Canada","North America","Americas","North America",51.19,-127.25,1,"Freshwater",NA,NA,"Nearctic","Temperate coastal rivers",NA,NA,NA,1,"Thousands of fish","SR"
