ID,Binomial,Common_name,Class,Citation,Location,Units,Method,TaxonomicGroup,exclude_manual,notes
10478,Bubo_bubo,Eurasian eagle-owl,Aves," Augst, U. (2003). ""Reproduktion und Bestandsentwicklung des Uhus Bubo bubo im Elbsandsteingebirge."" Vogelwelt 124: 229-239.","Saxonian Elbsandsteingebirge, Sachsen-Anhalt, Germany",Number of occupied territories,Direct counts,Birds,no,
11162,Branta_leucopsis,Barnacle goose,Aves," Crabtree, B., L. Humphreys, et al. (2010). 2010 Review of Goose Management Policy in Scotland, BTO Scotland and the Scottish Government: 303.","Solway Firth, UK (Svalbard population)",Individuals,estimate using weekly/fornightly counts on the solway by the WWT,Birds,no,exp growth
7822,Diomedea_exulans,Wandering albatross,Aves," Delord, K., D. Besson, et al. (2008). ""Population trends in a community of large Procellariiforms of Indian Ocean: Potential effects of environment and fisheries interactions."" Biological Conservation 141: 1840-1856.","Possession Island, Crozet archipelago",Number of breeding pairs,Standardised annual counts,Birds,yes,"interpolated with loglinear changepoint model, not actual counts"
4651,Anser_brachyrhynchus,Pink-footed goose,Aves," Frederiksen, M., R. D. Hearn, et al. (2004). ""The dynamics of hunted Icelandic goose populations: a reassessment of the evidence."" Journal of Applied Ecology. 41: 315-334.",Britain,Number of individuals,Sighting counts of coloured-ringed geese,Birds,no,
11186,Thalasseus_sandvicensis,Sandwich tern,Aves," Garthe, S. and B.-O. Flore (2007). ""Population trend over 100 years and conservation needs of breeding sandwich terns (Sterna sandvicensis) on the German North Sea coast."" Journal of Ornithology 148(2): 215-227.",German north sea coast,Breeding numbers,Visual counts of breeding numbers but by different methosd/sources (see notes),Birds,no,
3265,Branta_canadensis,Canada goose,Aves," Hupp, J., R. Stehn, et al. (1995). ""Arctic Nesting Geese: Alaskan Populations."" Our Living Resources: A report to the nation on the distribution, abundance, and health of U.S. plants, animals, and ecosystems. from http://biology.usgs.gov/s+t/noframe/b011.htm ",Pacific Flyway,Number of individuals,Count,Birds,no,
992,Anas_acuta,Northern pintail,Aves," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.",North America,Population index,Annual population estimate adjusted for biases,Birds,no,
995,Mareca_americana,American wigeon,Aves," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.",North America,Population index,Annual population estimate adjusted for biases,Birds,no,
999,Spatula_clypeata,Northern shoveler,Aves," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.",North America,Population index,Annual population estimate adjusted for biases,Birds,no,
1007,Spatula_discors,Blue-winged teal,Aves," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.",North America,Population index,Annual population estimate adjusted for biases,Birds,no,
1014,Anas_platyrhynchos,Mallard,Aves," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.",North America,Population index,Annual population estimate adjusted for biases,Birds,no,
1019,Mareca_strepera,Gadwall,Aves," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.",North America,Population index,Annual population estimate adjusted for biases,Birds,no,
1024,Aythya_americana,Redhead,Aves," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.",North America,Population index,Annual population estimate adjusted for biases,Birds,no,
1029,Aythya_valisineria,Canvasback,Aves," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.",North America,Population index,Annual population estimate adjusted for biases,Birds,no,
10190,Aptenodytes_forsteri,Emperor penguin,Aves," Jenouvrier, S., H. Caswell, et al. (2010). ""Mating Behavior, Population Growth, and the Operational Sex Ratio: A Periodic Two-Sex Model Approach."" The American Naturalist 175(6): 739-752.","Pointe Geologie, Adelie Land, Antarctica",breeding pairs,Annual ground surveys,Birds,no,
7375,Bubulcus_ibis,Cattle egret,Aves," Kayser, Y., C. Girard, et al. (2003). ""COMPTE-RENDU ORNITHOLOGIQUE CAMARGUAIS POUR LES ANNÉES 1995-2000."" Rev. Écol. (Terre Vie) 58: 5-76.| Kayser, Y., M. Gauthier-Clerc, et al. (2008). ""COMPTE RENDU ORNITHOLOGIQUE CAMARGUAIS POUR LES ANNÉES 2001-2006."" Rev. Écol. (Terre Vie) 63: 299-349.| Blondel, J. and P. Isenmann (1981). Guide des oiseaux de Camargue. Guide des oiseaux de Camargue., Delachaux & Niestle, Neuchatel, Paris: 1-344.",Camargue,Nests,nest count,Birds,no,exp growth
10775,Ciconia_ciconia,White stork,Aves," Kestenholz, M., O. Biber, et al. (2010). Aktionsplan Weissstorch Schweiz. Artenförderung Vögel Schweiz. Bern, Sempach, Zürich, Kleindietwil, Bundesamt für Umwelt, Bern, Schweizerische Vogelwarte, Schweizer Vogelschutz SVS/BirdLife Schweiz, Storch Schweiz.",Switzerland (population occurs in the northern part),Number of breeding pairs,Direct counts,Birds,no,exp growth
