"Binomial","Common_name","Family","Class","Binomial2","Mass_g","MinAge_mo","age.maturity","length.max"
"Alosa_pseudoharengus","Alewife","Clupeidae","Actinopteri","Alosa pseudoharengus",NA,30,2.5,40
"Anguilla_anguilla","European eel","Anguillidae","Actinopteri","Anguilla anguilla",NA,132,11,125.3
"Anguilla_rostrata","American eel","Anguillidae","Actinopteri","Anguilla rostrata",NA,132,11,120
"Anoplopoma_fimbria","Sablefish","Anoplopomatidae","Actinopteri","Anoplopoma fimbria",NA,63.600000384,5.300000032,120
"Aspidophoroides_monopterygius","Alligatorfish","Agonidae","Actinopteri","Aspidophoroides monopterygius",NA,56.399997708,4.699999809,20
"Chrysophrys_auratus","Silver seabream","Sparidae","Actinopteri","Chrysophrys auratus",NA,NA,NA,NA
"Clupea_harengus","Atlantic herring","Clupeidae","Actinopteri","Clupea harengus",NA,38.637142896,3.219761908,31.7866666666667
"Clupea_pallasii","Pacific herring","Clupeidae","Actinopteri","Clupea pallasii",NA,NA,NA,NA
"Cyclopterus_lumpus","Lumpfish / Lumpsucker","Cyclopteridae","Actinopteri","Cyclopterus lumpus",NA,41.5,3.45833333333333,56.8333333333333
"Enchelyopus_cimbrius","Fourbeard rockling","Lotidae","Actinopteri","Enchelyopus cimbrius",NA,36,3,40.5
"Gadus_chalcogrammus","Alaska pollock / Walleye pollock","Gadidae","Actinopteri","Gadus chalcogrammus",NA,48,4,100.423076923077
"Gadus_morhua","Atlantic cod / Cod","Gadidae","Actinopteri","Gadus morhua",NA,58.30568192,4.85880682666667,116.258333333333
"Glyptocephalus_cynoglossus","Witch flounder","Pleuronectidae","Actinopteri","Glyptocephalus cynoglossus",NA,91.542248064,7.628520672,76.8615384615385
"Hemitripterus_americanus","Sea raven","Hemitripteridae","Actinopteri","Hemitripterus americanus",NA,12,1,64
"Hippoglossoides_platessoides","American plaice","Pleuronectidae","Actinopteri","Hippoglossoides platessoides",NA,91.450909008,7.620909084,80.5571428571428
"Istiompax_indica","Black marlin","Istiophoridae","Actinopteri","Istiompax indica",NA,NA,NA,NA
"Kajikia_audax","Striped marlin","Istiophoridae","Actinopteri","Kajikia audax",NA,NA,NA,NA
"Lepidopsetta_bilineata","Rock sole","Pleuronectidae","Actinopteri","Lepidopsetta bilineata",NA,108,9,58.375
"Lepidopsetta_polyxystra","Northern rock sole","Pleuronectidae","Actinopteri","Lepidopsetta polyxystra",NA,84,7,51.8333333333333
"Lophius_americanus","American angler","Lophiidae","Actinopteri","Lophius americanus",NA,64.39999962,5.366666635,112
"Makaira_nigricans","Blue marlin","Istiophoridae","Actinopteri","Makaira nigricans",NA,NA,NA,NA
"Melanogrammus_aeglefinus","Haddock","Gadidae","Actinopteri","Melanogrammus aeglefinus",NA,36.1566225454286,3.01305187878571,77.9642857142857
"Merluccius_bilinearis","Silver hake / Whiting","Merlucciidae","Actinopteri","Merluccius bilinearis",NA,19.800000432,1.650000036,76
"Merluccius_gayi","South Pacific hake / Peruvian hake","Merlucciidae","Actinopteri","Merluccius gayi",NA,NA,NA,NA
"Micropterus_dolomieu","Smallmouth bass","Centrarchidae","Actinopteri","Micropterus dolomieu",NA,NA,NA,NA
"Myoxocephalus_octodecemspinosus","Longhorn sculpin","Cottidae","Actinopteri","Myoxocephalus octodecemspinosus",NA,64.5,5.375,46
"Myzopsetta_ferruginea","Yellowtail flounder","Pleuronectidae","Actinopteri","Myzopsetta ferruginea",NA,NA,NA,NA
"Nemadactylus_macropterus","Tarakihi","Latridae","Actinopteri","Nemadactylus macropterus",NA,NA,NA,NA
"Nezumia_bairdii","Marlin-spike grenadier","Macrouridae","Actinopteri","Nezumia bairdii",NA,48,4,43
"Oncorhynchus_keta","Chum salmon","Salmonidae","Actinopteri","Oncorhynchus keta",NA,39,3.25,97.8
"Oncorhynchus_kisutch","Coho salmon","Salmonidae","Actinopteri","Oncorhynchus kisutch",NA,36,3,98
"Oncorhynchus_nerka","Sockeye salmon / Red salmon","Salmonidae","Actinopteri","Oncorhynchus nerka",NA,24,2,84
