"Id","Loc","Name","ID","Binomial","Common_name","Citation","SamplingInterval","mo_timestep","ndatapoints","longestrun","propmissing","propzeros","monotonic","Mass_g","MinAge_mo","TaxonomicGroup","Location","Country","Longitude","Latitude","data_rescale_case"
"LP_539","Gran Paradiso NP, NW Italy","Alpine ibex",539,"Capra_ibex","Alpine ibex"," Jacobson, A. R., A. Provenzale, et al. (2004). ""Climate forcing and density dependence in a mountain ungulate population."" Ecology 85: 1598-1610.","annual",12,45,45,0,0,0.564727585387856,77000,26.89,"Mammals","Gran Paradiso NP, NW Italy","Italy",7.56667,45.41667,1
"LP_848","Adams Complex, British Columbia","Sockeye salmon / Red salmon",848,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,44,44,0,0,-0.00479210711768851,1400,24,"Fishes","Adams Complex, British Columbia","Canada",-119.33,50.54,1
"LP_849","Birkenhead River, BC","Sockeye salmon / Red salmon",849,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,44,44,0,0,0.548837209302326,1400,24,"Fishes","Birkenhead River, BC","Canada",-122,50,1
"LP_850","Chilko Lake, British Columbia","Sockeye salmon / Red salmon",850,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,44,44,0,0,0.372233967582805,1400,24,"Fishes","Chilko Lake, British Columbia","Canada",-124.22556,51.15694,1
"LP_851","Chilko River, BC","Sockeye salmon / Red salmon",851,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,44,44,0,0,0.279915433403805,1400,24,"Fishes","Chilko River, BC","Canada",-123.27,52.06,1
"LP_852","Early Stuart Complex, BC","Sockeye salmon / Red salmon",852,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,45,45,0,0,0.306324110671937,1400,24,"Fishes","Early Stuart Complex, BC","Canada",-123.32,53.59,1
"LP_853","Horsefly River, BC","Sockeye salmon / Red salmon",853,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,44,44,0,0,0.544487121096343,1400,24,"Fishes","Horsefly River, BC","Canada",-121.23,52.28,1
"LP_854","Late Stuart Complex, BC","Sockeye salmon / Red salmon",854,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,45,45,0,0,0.299077733860343,1400,24,"Fishes","Late Stuart Complex, BC","Canada",-123.32,53.59,1
"LP_856","Rivers Inlet, BC","Sockeye salmon / Red salmon",856,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,45,45,0,0,0.162678823695343,1400,24,"Fishes","Rivers Inlet, BC","Canada",-127.25,51.28,1
"LP_857","Smith Inlet, BC","Sockeye salmon / Red salmon",857,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,45,45,0,0,0.595180973373134,1400,24,"Fishes","Smith Inlet, BC","Canada",-127.25,51.19,1
"LP_858","Stellako River, BC","Sockeye salmon / Red salmon",858,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,45,45,0,0,0.170223978919631,1400,24,"Fishes","Stellako River, BC","Canada",-124.53,54.03,1
"LP_859","Weaver Creek, BC","Sockeye salmon / Red salmon",859,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,43,43,0,0,0.553609181516158,1400,24,"Fishes","Weaver Creek, BC","Canada",-121.53,49.19,1
"LP_861","Black Lake, Alaska","Sockeye salmon / Red salmon",861,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,44,44,0,0,0.73315716227095,1400,24,"Fishes","Black Lake, Alaska","United States",-159,56.29,1
"LP_862","Egegik River, Alaska","Sockeye salmon / Red salmon",862,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,45,45,0,0,0.597977535816346,1400,24,"Fishes","Egegik River, Alaska","United States",-157.24,58.11,1
"LP_863","Igushik River, Alaska","Sockeye salmon / Red salmon",863,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,44,44,0,0,0.308548876656059,1400,24,"Fishes","Igushik River, Alaska","United States",-158.5,58.4,1
"LP_866","Kvichak River, Alaska","Sockeye salmon / Red salmon",866,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,45,45,0,0,0.359947299077734,1400,24,"Fishes","Kvichak River, Alaska","United States",-157.03,58.52,1
"LP_868","Naknek, Alaska","Sockeye salmon / Red salmon",868,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,45,45,0,0,0.590796798634019,1400,24,"Fishes","Naknek, Alaska","United States",-157,58.4,1
"LP_869","Red River, Alaska","Sockeye salmon / Red salmon",869,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,44,44,0,0,0.76991930514477,1400,24,"Fishes","Red River, Alaska","United States",-154.37,57.16,1
"LP_870","Ugashik River, Alaska","Sockeye salmon / Red salmon",870,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,45,45,0,0,0.527536231884058,1400,24,"Fishes","Ugashik River, Alaska","United States",-157.37,57.3,1
"LP_871","Wood River, Alaska","Sockeye salmon / Red salmon",871,"Oncorhynchus_nerka","Sockeye salmon / Red salmon"," Myers, R. Ransom Myers' Stock Recruitment Database.","annual",12,45,45,0,0,0.492094861660079,1400,24,"Fishes","Wood River, Alaska","United States",-158.3,59.03,1
"LP_885","Michigan Waters of Lake Superior","Lake trout",885,"Salvelinus_namaycush","Lake trout"," Hansen, M. J., J. W. Peck, et al. (1995). ""Lake trout (Salvelinus namaycush) populations in Lake Superior and restoration in 1959-1993."" Journal of Great Lakes Research 21(Supplement 1): 152-175.","annual",12,44,44,0,0,0.5707035331905,32700,78,"Fishes","Michigan Waters of Lake Superior","United States",-87.17472,47.26472,1
"LP_886","Wisconsin Waters of Lake Superior","Lake trout",886,"Salvelinus_namaycush","Lake trout"," Hansen, M. J., J. W. Peck, et al. (1995). ""Lake trout (Salvelinus namaycush) populations in Lake Superior and restoration in 1959-1993."" Journal of Great Lakes Research 21(Supplement 1): 152-175.","annual",12,44,44,0,0,0.428949176076414,32700,78,"Fishes","Wisconsin Waters of Lake Superior","United States",-90.5,47.15417,1
"LP_992","North America","Northern pintail",992,"Anas_acuta","Northern pintail"," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.","annual",12,48,48,0,0,-0.663895544288289,872.3,7.89,"Birds","North America","Canada",-108.44556,47.12944,1
