"Id","Loc","Name","DataSource_ID","Plot_ID","Stratum","InvertebrateGroup","DataSourceName","Reference","OpenAccessLicense","SamplingInterval","mo_timestep","ndatapoints","propmissing","longestrun","monotonic","Mass_g","MinAge_mo","Location","NationState","Longitude","Latitude","data_rescale_case"
"1519_1737_Air","Suffolk county, NY","Mosquitos",1519,1737,"Air","Mosquitos","US mosquitos Rochlin","(Rochlin et al. 2016)","CC-BY","annual",12,74,0.0133333333333333,50,0.32081451314328,0.003,NA,"Suffolk county, NY","USA",-72.728016,40.889429,1
"1519_1738_Air","Ocean county NJ","Mosquitos",1519,1738,"Air","Mosquitos","US mosquitos Rochlin","(Rochlin et al. 2016)","CC-BY","annual",12,80,0.0123456790123457,44,0.236193155180497,0.003,NA,"Ocean county NJ","USA",-74.221701,39.886778,1
"1527_1739_Air","Sutter-Yuba, CA","Mosquitos",1527,1739,"Air","Mosquitos","US mosquitos Rochlin","(Rochlin et al. 2016)","CC-BY","annual",12,52,0,52,-0.420046102621019,0.003,NA,"Sutter-Yuba, CA","USA",-121.659918,39.13123,1
"1429_135_Water","Lake Oneida","Freshwater invertebrates",1429,135,"Water","Freshwater invertebrates","New York freshwater","(Rudstam 2018)","ODC","annual",12,149,0,61,0.743997884717081,NA,NA,"Lake Oneida","USA",-75.9,43.2,1
"1429_136_Water","Lake Oneida","Freshwater invertebrates",1429,136,"Water","Freshwater invertebrates","New York freshwater","(Rudstam 2018)","ODC","annual",12,145,0,61,0.681015335801163,NA,NA,"Lake Oneida","USA",-75.9,43.2,1
"1520_1801_Air","Black hawk county","Mosquitos",1520,1801,"Air","Mosquitos","Iowa mosquitos","(Giraldo-Calderón et al. 2015, Iowa Mosquito Surveillance 2019, Field et al. 2019)","CC-BY-NC","annual",12,176,0.00564971751412429,41,-0.573454339194555,0.003,NA,"Black hawk county","USA",-92.41,42.52,1
"1520_1802_Air","Black hawk county","Mosquitos",1520,1802,"Air","Mosquitos","Iowa mosquitos","(Giraldo-Calderón et al. 2015, Iowa Mosquito Surveillance 2019, Field et al. 2019)","CC-BY-NC","annual",12,165,0,41,-0.329616724738676,0.003,NA,"Black hawk county","USA",-92.31,42.46,1
"1520_1803_Air","Black hawk county","Mosquitos",1520,1803,"Air","Mosquitos","Iowa mosquitos","(Giraldo-Calderón et al. 2015, Iowa Mosquito Surveillance 2019, Field et al. 2019)","CC-BY-NC","annual",12,163,0,41,-0.672299651567944,0.003,NA,"Black hawk county","USA",-92.33,42.47,1
"1520_1819_Air","Scott county","Mosquitos",1520,1819,"Air","Mosquitos","Iowa mosquitos","(Giraldo-Calderón et al. 2015, Iowa Mosquito Surveillance 2019, Field et al. 2019)","CC-BY-NC","annual",12,179,0,40,-0.0947467166979362,0.003,NA,"Scott county","USA",-90.53,41.54,1
"1378_24_Air","Tirimbina_Biological_Reserve","Butterflies",1378,24,"Air","Butterflies","Costa Rica butterflies","(Grøtan et al. 2014)","PD","monthly",1,104,0,104,0.198020277607525,0.5,NA,"Tirimbina_Biological_Reserve","Costa Rica",-84.124546,10.416583,1
"1379_31_Air","La_Selva_Lodge","Butterflies",1379,31,"Air","Butterflies","Equador butterflies","(Grøtan et al. 2012)","PD","monthly",1,112,0,72,0.00653911617540724,0.5,NA,"La_Selva_Lodge","Ecuador",-76.374694,0.497306,1
"1382_15_Air","FrayJorge","All arthropods",1382,15,"Air","All arthropods","Chile arthropods","(Meserve et al. 2016)","PD","monthly",1,495,0.00201612903225806,78,-0.602899474431458,NA,NA,"FrayJorge","Chile",-71.666,-30.633,1
"1382_15_Soil surface","FrayJorge","All arthropods",1382,15,"Soil surface","All arthropods","Chile arthropods","(Meserve et al. 2016)","PD","monthly",1,495,0.00201612903225806,134,-0.375885304455496,NA,NA,"FrayJorge","Chile",-71.666,-30.633,1
"1394_3_Air","Makerere University Field Station","Butterflies",1394,3,"Air","Butterflies","Uganda butterflies","(Valtonen et al. 2013)","PD","monthly",1,140,0,140,0.19709338054685,0.5,NA,"Makerere University Field Station","Uganda",30.333,0.583,1
"1481_1686_Air","Kibutz Sasa","Butterflies",1481,1686,"Air","Butterflies","Israel butterflies","(Pe’er and Comay 2019)","CC-BY","monthly",1,185,0,80,0.00097307449375621,0.5,NA,"Kibutz Sasa","Israel",35.39415,33.029358,3
