Name,Site,Binomial2,Mass_g,MinAge_mo,dry_mass_ug,wet_mass_ug,vol_um3,Notes
Asplanchna priodonta,Lake Geneva,Asplanchna priodonta,0.0000125,0.25,0.5,12.5,,Dumont et al 1975
Bythotrephes longimanus,Lake Geneva,Bythotrephes longimanus,0.000965,0.18,,,,Branstrator 2005
Cyclops prealpinus,Lake Geneva,Cyclops prealpinus,0.000023,0.91,,,,used value for other cyclops
Cyclops vicinus,Lake Geneva,Cyclops vicinus,0.000023,0.91,,,,Gillooly 2000
Eubosmina longispina,Lake Geneva,Eubosmina longispina,0.00002,0.1,,,,used value for Bosmina
Eudiaptomus gracilis,Lake Geneva,Eudiaptomus gracilis,0.00005,0.65,,,,Dumont et al 1975
Kellicottia longispina,Lake Geneva,Kellicottia longispina,0.0000025,0.167,,,,Makarewicz; https://doi.org/10.2307/1942575
Keratella cochlearis,Lake Geneva,Keratella cochlearis,0.00000275,0.143,,,,Dumont et al 1975
Leptodora kindtii,Lake Geneva,Leptodora kindtii,0.000185,0.2,,,,Branstrator 2005
Polyarthra sp,Lake Geneva,Polyarthra sp,0.000006,0.04,,,,Foran King; https://doi.org/10.1080/02705060.1981.9664012
Synchaeta sp,Lake Geneva,Synchaeta sp,0.00000675,0.037,,,,Dumont et al 1975
Asplanchna priodonta,Lake Muggelsee,Asplanchna priodonta,0.0000125,0.25,,,,Dumont et al 1975
Bosmina longirostris,Lake Muggelsee,Bosmina longirostris,0.00002,0.1,,,,Dumont et al 1975
Brachionus angularis,Lake Muggelsee,Brachionus angularis,0.0000115,,0.46,11.5,,rotifer
Conochilus unicornis,Lake Muggelsee,Conochilus unicornis,0.000004,,,,,"0.004 mm3; Schindler, D. W., & Novén, B. (1971). Vertical distribution and seasonal abundance of zooplankton in two shallow lakes of the Experimental Lakes Area, northwestern Ontario. Journal of the Fisheries Board of Canada, 28(2), 245-256."
Cyclops vicinus,Lake Muggelsee,Cyclops vicinus,0.000023,0.91,,,,Gillooly 2000
Daphnia cucullata,Lake Muggelsee,Daphnia cucullata,0.00003,,6,30,,"Burns, C. W. (2000). Crowding?induced changes in growth, reproduction and morphology of Daphnia. Freshwater Biology, 43(1), 19-29."
Daphnia galeata,Lake Muggelsee,Daphnia galeata,0.00013,,26,130,,Dumont et al 1975
Dreissena polymorpha larvae,Lake Muggelsee,Dreissena polymorpha larvae,NA,NA,,,,
Eubosmina longicornis berolinensis,Lake Muggelsee,Eubosmina longicornis berolinensis,0.00002,0.1,,,,used value for other Eubosmina
Eudiaptomus gracilis,Lake Muggelsee,Eudiaptomus gracilis,0.00005,0.65,,,,Dumont et al 1975
Eudiaptomus graciloides,Lake Muggelsee,Eudiaptomus graciloides,0.00005,0.65,,,,used value for other Eudiaptomus
