"Site","Name","Level","Year","Month","Abundance","AbundanceScale","AbundanceLogScale"
"Loch Leven","Cyclops.abyssorum","SP",1977,1,9.46,0.751530930806249,-0.285642911878622
"Loch Leven","Cyclops.abyssorum","SP",1977,2,6.06,0.482278542530038,-0.729233442778653
"Loch Leven","Cyclops.abyssorum","SP",1977,3,13.656,1.08382005469066,0.0804918880298473
"Loch Leven","Cyclops.abyssorum","SP",1977,4,19.8,1.57037495868155,0.451314418031246
"Loch Leven","Cyclops.abyssorum","SP",1977,5,99.005,7.84276772733371,2.05959179850877
"Loch Leven","Cyclops.abyssorum","SP",1977,6,46.55,3.6887577193841,1.30528973995574
"Loch Leven","Cyclops.abyssorum","SP",1977,7,5.95333333333333,0.473831408780196,-0.746903698234281
"Loch Leven","Cyclops.abyssorum","SP",1977,8,11.472,0.910864991162643,-0.0933605912088963
"Loch Leven","Cyclops.abyssorum","SP",1977,9,24.355,1.93109396709277,0.658086664661557
"Loch Leven","Cyclops.abyssorum","SP",1977,10,26.78,2.12313427343683,0.752893427747409
"Loch Leven","Cyclops.abyssorum","SP",1977,11,NA,NA,NA
"Loch Leven","Cyclops.abyssorum","SP",1977,12,NA,NA,NA
"Loch Leven","Cyclops.abyssorum","SP",1978,1,18.56,1.47217702883964,0.386742277232894
"Loch Leven","Cyclops.abyssorum","SP",1978,2,11.17,0.886949043733403,-0.11996774619941
"Loch Leven","Cyclops.abyssorum","SP",1978,3,10.6,0.841809672757685,-0.172201332146602
"Loch Leven","Cyclops.abyssorum","SP",1978,4,18.9275,1.50128004433714,0.406318107092495
"Loch Leven","Cyclops.abyssorum","SP",1978,5,26.302,2.08528055532035,0.734903405105172
"Loch Leven","Cyclops.abyssorum","SP",1978,6,37.915,3.00493584504143,1.10025621835542
"Loch Leven","Cyclops.abyssorum","SP",1978,7,3.698,0.295227324556975,-1.22000962767711
"Loch Leven","Cyclops.abyssorum","SP",1978,8,3,0.239951393081447,-1.42731890497918
"Loch Leven","Cyclops.abyssorum","SP",1978,9,10.9875,0.872496525833283,-0.136396606766454
"Loch Leven","Cyclops.abyssorum","SP",1978,10,7.52,0.597898685730999,-0.514333961239525
"Loch Leven","Cyclops.abyssorum","SP",1978,11,3.38,0.270044307065259,-1.30916923320503
"Loch Leven","Cyclops.abyssorum","SP",1978,12,0.79,0.0649373407019098,-2.7343324632243
"Loch Leven","Cyclops.abyssorum","SP",1979,1,0.03,0.00475151273428609,-5.3492922412605
"Loch Leven","Cyclops.abyssorum","SP",1979,2,0.06,0.00712726910142913,-4.94382713315233
"Loch Leven","Cyclops.abyssorum","SP",1979,3,1.65666666666667,0.133570302419376,-2.01312732986919
