"Site","Name","Level","data_rescale_case","tslength","ndatapoints","longestrun","propmissing","nruns10","effectivenE2","Country","Type","Redistributable","Lat","Lon","Mass_g","MinAge_mo","SamplingInterval","mo_timestep","monotonic"
"Lake Geneva","Asplanchna priodonta","SP",3,718,585,130,0.185236768802228,13,515,"Switzerland/France","Lake","no",46.43,6.55,1.25e-05,0.25,"monthly",1,0.285519264318988
"Lake Geneva","Bythotrephes longimanus","SP",3,718,639,167,0.110027855153203,13,564,"Switzerland/France","Lake","no",46.43,6.55,0.000965,0.18,"monthly",1,0.0950694615149243
"Lake Geneva","Conochilus sp","SP",3,718,563,108,0.215877437325905,13,493,"Switzerland/France","Lake","no",46.43,6.55,NA,NA,"monthly",1,0.263921876357483
"Lake Geneva","Cyclops prealpinus","SP",3,419,272,108,0.350835322195704,6,252,"Switzerland/France","Lake","no",46.43,6.55,2.3e-05,0.91,"monthly",1,0.363149897748549
"Lake Geneva","Cyclops vicinus","SP",3,375,337,108,0.101333333333333,9,310,"Switzerland/France","Lake","no",46.43,6.55,2.3e-05,0.91,"monthly",1,-0.474811059022777
"Lake Geneva","Eubosmina longispina","SP",2,419,381,108,0.0906921241050119,10,349,"Switzerland/France","Lake","no",46.43,6.55,2e-05,0.1,"monthly",1,-0.200014385767005
"Lake Geneva","Eudiaptomus gracilis","SP",3,718,639,167,0.110027855153203,13,564,"Switzerland/France","Lake","no",46.43,6.55,5e-05,0.65,"monthly",1,0.283430112993615
"Lake Geneva","Kellicottia longispina","SP",3,718,601,167,0.162952646239554,12,533,"Switzerland/France","Lake","no",46.43,6.55,2.5e-06,0.167,"monthly",1,0.298632919016684
"Lake Geneva","Keratella cochlearis","SP",3,718,480,167,0.331476323119777,8,425,"Switzerland/France","Lake","no",46.43,6.55,2.75e-06,0.143,"monthly",1,0.252592234915789
"Lake Geneva","Keratella quadrata","SP",3,718,480,167,0.331476323119777,8,425,"Switzerland/France","Lake","no",46.43,6.55,NA,NA,"monthly",1,0.265152809327764
"Lake Geneva","Leptodora kindtii","SP",3,703,630,167,0.103840682788051,13,560,"Switzerland/France","Lake","no",46.43,6.55,0.000185,0.2,"monthly",1,0.0105853735441514
"Lake Geneva","Polyarthra sp","SP",3,718,480,167,0.331476323119777,8,425,"Switzerland/France","Lake","no",46.43,6.55,6e-06,0.04,"monthly",1,0.390827675864092
"Lake Geneva","Synchaeta sp","SP",3,718,480,167,0.331476323119777,8,425,"Switzerland/France","Lake","no",46.43,6.55,6.75e-06,0.037,"monthly",1,0.416444484868243
"Loch Leven","Cyclops.abyssorum","SP",3,372,261,60,0.298387096774194,8,240,"Scotland","Lake","yes",56.194,-3.375,5.15e-05,NA,"monthly",1,-0.258946547440088
"Loch Leven","Eudiaptomus.gracilis","SP",3,372,261,60,0.298387096774194,8,240,"Scotland","Lake","yes",56.194,-3.375,5e-05,0.65,"monthly",1,0.0436331281927391
