"Id","Loc","Name","SamplingInterval","mo_timestep","ndatapoints","longestrun","monotonic","Mass_g","TaxonomicClass3","Group","Source","TaxonomicGroup","smapoptR2","R2gr","modelform","E","tau","theta","JLEmin","JLEmean","JLEmean_mo","JLEsign","taumax","meanlag","smap1dR2","loglinearR2","rickerR2","best1dR2","best1dmodel","ARmodR2","SamplingInterval2","expgrowth","diffbest1d","diffAR","JLEsign2","JLEsign2_mo","meanlag_st"
"GPDD_1176","William Trelease Woods","Red-bellied woodpecker","annual",12,48,40,0.499925470713125,62,"Birds","Non-plankton species","GPDD","Birds/Mammals",0.413094689441697,0.0997226524864488,"fd-ut",1,1,0,-0.374624010073583,-0.374290250104359,-0.0311908541753633,"not chaotic",6,1,0.413094689441697,0.412506628639737,0.36879816817278,0.413094689441697,"1dsmap",0.413094689441697,"annual","no",0,0,"stable","stable",12
"GPDD_1178","William Trelease Woods","Hairy woodpecker","annual",12,48,40,0.134777920907044,66,"Birds","Non-plankton species","GPDD","Birds/Mammals",0.287949566135624,0.104116271147975,"gr-log",1,1,0.1,-0.492287311416849,-0.482435551162166,-0.0402029625968472,"not chaotic",6,1,0.287949566135624,0.282997058209027,0.265897484606991,0.287949566135624,"1dsmap",0.282997058209027,"annual","no",0,0.00495250792659702,"stable","stable",12
"GPDD_1179","William Trelease Woods","Downy woodpecker","annual",12,48,40,0.108823641390633,27,"Birds","Non-plankton species","GPDD","Birds/Mammals",0.379670719351022,0.107239248167667,"gr-log",2,1,0,-0.228875629259174,-0.222151756555675,-0.0185126463796396,"not chaotic",6,1.37333189426646,0.373476192018863,0.373476192018863,0.370989810087744,0.373476192018863,"1dsmap",0.379670719351022,"annual","no",0.00619452733215897,0,"stable","neutral",16.4799827311975
"GPDD_1180","William Trelease Woods","Blue jay","annual",12,47,40,0.559222037477505,86.8,"Birds","Non-plankton species","GPDD","Birds/Mammals",0.321201478048139,0.278646972614143,"fd-ut",3,1,2,-0.314893595282901,-0.284301090151401,-0.0236917575126167,"not chaotic",6,1.83667708805775,0.298814313614002,0.240581007744542,0.257551198902414,0.298814313614002,"1dsmap",0.28000048185817,"annual","no",0.022387164434137,0.041200996189969,"stable","stable",22.040125056693
"GPDD_1181","William Trelease Woods","Common crow or American crow","annual",12,48,40,0.520309155424113,448,"Birds","Non-plankton species","GPDD","Birds/Mammals",0.532744859604434,0.694332829290893,"gr-ut",2,1,6,0.511844966019908,0.544011646567165,0.0453343038805971,"chaotic",6,1.60639240877219,0.21809016789902,-0.100856917692405,0.0636930749300868,0.21809016789902,"1dsmap",0.293949760449336,"annual","no",0.314654691705414,0.238795099155098,"unstable","unstable",19.2767089052663
"GPDD_1187","William Trelease Woods","Cardinal","annual",12,48,40,0.264948684497232,45,"Birds","Non-plankton species","GPDD","Birds/Mammals",0.379500160118892,0.352483246896555,"fd-ut",1,1,0,-0.669564792129604,-0.6687610219906,-0.0557300851658833,"not chaotic",6,1,0.379500160118892,0.214180365177453,0.00958195817729646,0.379500160118892,"1dsmap",0.379500160118892,"annual","no",0,0,"stable","stable",12
"GPDD_1213","William Trelease Woods","Common flicker","annual",12,48,40,0.413164666419458,132,"Birds","Non-plankton species","GPDD","Birds/Mammals",0.311778544539101,0.190457144101076,"fd-ut",2,1,0.75,-0.532312081487581,-0.526695338039564,-0.0438912781699637,"not chaotic",6,1.37556753008863,0.247108351818757,0.174881874905096,0.138859593858958,0.247108351818757,"1dsmap",0.268457700730607,"annual","no",0.064670192720344,0.043320843808494,"stable","stable",16.5068103610636
"GPDD_2721","USA","Snowshoe hare or American varying hare","annual",12,57,57,0.15039959546854,2000,"Mammals","Non-plankton species","GPDD","Birds/Mammals",0.478954174167594,0.277855306611755,"fd-ut",5,1,0.75,-0.0854934710023896,-0.0809372860641697,-0.00674477383868081,"not chaotic",6,2.42209300564462,0.370499600224762,0.258053649241029,0.2409867145339,0.370499600224762,"1dsmap",0.437371749411781,"annual","no",0.108454573942832,0.041582424755813,"stable","neutral",29.0651160677354
"GPDD_2722","USA","Canadian lynx","annual",12,57,57,0.16176858884791,9900,"Mammals","Non-plankton species","GPDD","Birds/Mammals",0.849096766130091,0.680776860224146,"gr-ut",5,1,3,0.0155395679420572,0.0386724254040215,0.00322270211700179,"chaotic",6,2.46438638555633,0.546514212586433,0.473604365382819,0.466823814715866,0.546514212586433,"1dsmap",0.844501489167432,"annual","no",0.302582553543658,0.00459527696265905,"unstable","neutral",29.572636626676
"GPDD_2726","Nebraska","Northern bobwhite or Bobwhite quail","annual",12,46,46,0.186430569012049,178,"Birds","Non-plankton species","GPDD","Birds/Mammals",0.373875111037911,0.0438395398326823,"gr-ut",1,1,0,-0.460592730651624,-0.448452477801519,-0.0373710398167932,"not chaotic",6,1,0.373875111037911,0.359848412980871,0.373875111037911,0.373875111037911,"ricker",0.373875111037911,"annual","no",0,0,"stable","stable",12
