"Site","Name","Level","R2abund","R2gr","modelform","E","tau","theta","JLEmin","JLEmean","JLEmean_mo","JLEsign","taumax","meanlag"
"Lake Geneva","Asplanchna priodonta","SP",0.210627866376377,0.554880918942956,"fd-ut",3,1,8,0.433444752586886,0.439882957152226,0.439882957152226,"chaotic",12,1.89616672598286
"Lake Geneva","Bythotrephes longimanus","SP",0.769831454794922,0.597307814265709,"gr-log",5,5,6,0.101067303829993,0.116598450649163,0.116598450649163,"chaotic",12,2.90893486288814
"Lake Geneva","Conochilus sp","SP",0.148395662720411,0.559326502869117,"fd-ut",3,7,6,0.0973846149542178,0.0984438400409882,0.0984438400409882,"chaotic",12,2.24143308483566
"Lake Geneva","Cyclops prealpinus","SP",0.230015716904636,0.239124829228016,"fd-ut",1,1,0.1,-0.565334594932929,-0.565272086571299,-0.565272086571299,"not chaotic",12,1
"Lake Geneva","Cyclops vicinus","SP",0.544756623648799,0.812686088365805,"fd-ut",4,4,4,-0.00337976432669775,-0.000766617223555362,-0.000766617223555362,"not chaotic",12,2.77324385855871
"Lake Geneva","Eubosmina longispina","SP",0.655234968024107,0.42406263096062,"gr-ut",6,1,1.5,0.108351049529244,0.12229025156956,0.12229025156956,"chaotic",12,1.52770281826614
"Lake Geneva","Eudiaptomus gracilis","SP",0.286661124075075,0.676966055293475,"fd-ut",5,6,0.5,-0.0167671261476524,-0.0166406552236382,-0.0166406552236382,"not chaotic",12,3.19414564612945
"Lake Geneva","Kellicottia longispina","SP",0.235277844067024,0.340481698613477,"fd-ut",3,1,0.75,-0.121593429441249,-0.119047865406051,-0.119047865406051,"not chaotic",12,1.34168739806208
"Lake Geneva","Keratella cochlearis","SP",0.238088265116631,0.659497083898461,"fd-ut",6,4,1.5,0.0180667173967637,0.0186261071188679,0.0186261071188679,"chaotic",12,3.7984777541667
"Lake Geneva","Keratella quadrata","SP",0.128196072901094,0.702629160215076,"fd-ut",5,4,4,0.0420863140570536,0.0440766686616757,0.0440766686616757,"chaotic",12,3.13629643413797
"Lake Geneva","Leptodora kindtii","SP",0.208927342905997,0.700471956801793,"gr-ut",4,1,3,0.394185287233773,0.410229364817879,0.410229364817879,"chaotic",12,1.83423473341967
"Lake Geneva","Polyarthra sp","SP",0.228187322755268,0.709668868731517,"fd-ut",5,6,0.5,-0.000473270416193786,-0.000312632672642668,-0.000312632672642668,"not chaotic",12,2.57464163754832
"Lake Geneva","Synchaeta sp","SP",0.155188805840413,0.589361417647064,"fd-ut",6,4,1.5,-0.000952813126692301,-0.000698595910524977,-0.000698595910524977,"not chaotic",12,4.37844089405869
"Loch Leven","Cyclops.abyssorum","SP",0.43159447416515,0.436804713513209,"fd-ut",5,1,2,-0.110942549670763,-0.0970948162953082,-0.0970948162953082,"not chaotic",12,1.99167776752946
"Loch Leven","Eudiaptomus.gracilis","SP",0.332345300257294,0.240664899891743,"fd-ut",2,1,3,-0.271471224182016,-0.260221440689525,-0.260221440689525,"not chaotic",12,1.19673591656712
"Lake Zurich","Bosmina.sp","SP",0.358731143718433,0.696284570160868,"fd-ut",4,3,0,-0.035307846149681,-0.0352800741318596,-0.0352800741318596,"not chaotic",12,3.57003381274952
