"ID","R2abund","R2gr","modelform","E","tau","theta","JLEmin","JLEmean","JLEsign","smap1dR2","ARmodR2"
"V1",0.34216239333275,0.184966583499095,"gr-log",5,1,0,-0.228048430777327,-0.226871553485909,"not chaotic",0.334324315575287,0.34216239333275
"V2",0.459202800115271,0.145270681372686,"gr-log",5,1,0,-0.196570590401605,-0.194442790566189,"not chaotic",0.449412018733672,0.459202800115271
"V3",0.576597566472398,0.141104216381245,"gr-log",4,1,1.5,-0.268176001307895,-0.267213760024695,"not chaotic",0.557277999253698,0.57193988878214
"V4",0.685541158800499,0.190517635439347,"gr-log",5,1,1,-0.10737954347927,-0.104394330699257,"not chaotic",0.647607679918028,0.676180443386242
"V5",0.825810250279732,0.352397032695461,"gr-log",5,1,1,-0.0462646956835696,-0.0439972386151206,"not chaotic",0.755068161076103,0.82021926356469
"V6",0.906167465481824,0.625868624135119,"gr-log",5,1,1,-0.0186238298605059,-0.0152761847578215,"not chaotic",0.808039047225579,0.897135099569929
"V7",0.945561723920498,0.852176609293354,"gr-log",4,1,3,-0.0156610950421508,-0.0146243943999224,"not chaotic",0.811690057899164,0.899482887875515
"V8",0.958135843390441,0.920241223375379,"gr-log",5,1,4,-0.00658492567443686,-0.00416411262935112,"not chaotic",0.817033195797617,0.918514486989899
"V9",0.966821806076921,0.952571503180494,"gr-log",5,1,6,-0.0192085663663728,-0.016968656941949,"not chaotic",0.790241474798801,0.84044478019575
"V10",0.965565293353612,0.963223833020839,"gr-log",3,1,6,0.013598738831972,0.0207892587764825,"chaotic",0.765916969864851,0.761632065980615
"V11",0.959237494636747,0.968861471927097,"gr-log",5,1,8,0.0180735504705641,0.0202051551182337,"chaotic",0.73545528634656,0.73169041292903
"V12",0.955751129203672,0.976080763328208,"gr-log",3,1,8,-0.00514761001125676,0.00349690602605645,"not chaotic",0.691289365255011,0.670755764584355
"V13",0.937439922740367,0.977454700360132,"gr-log",6,1,6,0.0401196377674788,0.0459101054327735,"chaotic",0.577168795043259,0.491311218023996
"V14",0.92758936867347,0.977727142711788,"gr-log",2,1,8,0.146799151398866,0.151461141476044,"chaotic",0.516774801316731,0.332504406605219
"V15",0.894214983264911,0.97767648774494,"gr-log",2,1,8,0.134781170127038,0.146960688832864,"chaotic",0.473273107732275,0.286265982323356
"V16",0.875981902441354,0.974002249922723,"gr-log",2,1,8,0.0684315896010039,0.0724696800155925,"chaotic",0.404206291522217,0.0812903738451315
"V17",0.858097890669021,0.967292583410082,"gr-log",2,1,8,0.0228273243059538,0.0416907313225891,"chaotic",0.338786833467464,-0.111690170173854
"V18",0.839278106852617,0.969194974146698,"gr-log",2,1,8,0.051405113806867,0.0710536941701617,"chaotic",0.268713017034258,-0.165182251320968
"V19",0.772826167108192,0.950970521684903,"gr-log",2,1,8,0.0229091875264863,0.0267023259881766,"chaotic",0.201031010400538,-0.270113361089547
"V20",0.726716530882229,0.938313866520721,"gr-log",2,1,8,0.005616662245005,0.0391763165212469,"not chaotic",0.196088516397199,-0.298558711944469
"V21",0.33954634537133,0.182529565020675,"gr-log",5,1,0,-0.232914637540037,-0.231455709161239,"not chaotic",0.333669437020092,0.33954634537133
"V22",0.461020281244718,0.147204010922727,"gr-log",5,1,0,-0.198519160341738,-0.197602524893198,"not chaotic",0.445716022136022,0.461020281244718
"V23",0.555747413010147,0.147343056682467,"gr-log",4,1,2,-0.291637804008019,-0.290132427884002,"not chaotic",0.537123960957763,0.548186422094164
